condition,level,mae,rmse,r2,signed_bias,std_error,steady_plateau_bias,steady_plateau_mae,onset_error,decay_error,trough_error_p05,subject
level_075mps,lv0,0.0221967063844203,0.0353928618133068,0.911012623960227,0.0152494055218994,0.0319335162639617,0.0151417693123221,0.0215724073350429,-0.0331326592713594,0.1468182653188705,-0.0200739251449704,m2_S002
level_100mps,lv0,0.0226918924599885,0.0333371944725513,0.9681963193194476,-0.005959999281913,0.0328001081943511,-0.0065458375029265,0.0214644912630319,-0.0577631331980228,0.113247126340866,-0.0560404174029827,m2_S002
level_125mps,lv0,0.0255568120628595,0.0350780636072158,0.9808845796153688,0.0015536891296505,0.035043641924858,0.0023542691487818,0.0242848098278045,-0.0972085073590278,0.0230728927999734,-0.0556267499923706,m2_S002
stopandgo,lv0,0.0458989515900611,0.0711593553423881,0.9762126807433468,-0.0104439896531403,0.0703698135912418,-0.0128742405213415,0.0284753125160932,-0.1000985950231552,0.0900988914072513,-0.1392436549067497,m2_S002
accel_sine,lv0,0.043665587902069,0.0558030754327774,0.9704287941658232,-0.0089004933834075,0.0550886951386928,-0.010020351037383,0.0423758327960968,-0.0388354286551475,0.1957066506147384,-0.0913298204541206,m2_S003
decline_5deg,lv0,0.0180952865630388,0.0290285442024469,0.9453603207528816,0.0031896941363811,0.0288527682423591,0.0026528211310505,0.0162845514714717,-0.103034384548664,0.2066787481307983,-0.0321792736649513,m2_S003
incline_10deg,lv0,0.020283967256546,0.0296119078993797,0.949129094790094,-9.638965275371449e-05,0.0296117514371871,-0.0003838459961116,0.0191893111914396,-0.0681302025914192,0.1130951568484306,-0.0414953120052814,m2_S003
level_075mps,lv0,0.016858784481883,0.0259737689048051,0.9531927900121178,0.0005883436533622,0.02594462223351,0.00065638567321,0.0160022503696382,-0.0775452591478824,0.1430325955152511,-0.0310503095388412,m2_S003
level_100mps,lv0,0.0227245967835187,0.0307975355535745,0.972857410822528,0.0017665842315182,0.0307468269020319,0.0017781767528504,0.0215623117983341,-0.0357236228883266,0.0379229821264743,-0.0440304949879646,m2_S003
level_125mps,lv0,0.035512551665306,0.043505985289812,0.9705957141035936,0.0298343226313591,0.0316651836037635,0.0308880191296339,0.0345388501882553,-0.0664558783173561,0.0239284746348857,-0.017486285418272,m2_S003
stopandgo,lv0,0.0295516727492213,0.0454730540513992,0.9901335519709552,-0.0011564440501388,0.0454571545124053,-0.0037274935748428,0.0213336087763309,-0.0253977123647928,0.038923280313611,-0.0667837653309106,m2_S003
accel_sine,lv0,0.0403500720858573,0.0527131222188472,0.9736129900161412,-0.0175391808152198,0.0497096553444862,-0.0184169076383113,0.0393220670521259,-0.0331219546496868,0.1336449533700943,-0.0988836586475372,m2_S004
