experiment_dir,test_mae,test_rmse,test_r2,host_latency_ms,host_max_freq_hz,model_size_mb,n_params
archive_season2/archive_6/exp_S2A6F_tiny_kinpower_w100_Test-m2_S006_seed42,2.4651143550872803,3.0784664154052734,,1.9669,508.41,0.0867,22720
archive_season2/archive_2/exp_S2A2_model_bodyframe_gru_Test-m2_S008_seed42,2.4656918048858643,3.084223985671997,,1.9067,524.45,0.9812,257224
archive_season2/archive_6/exp_S2A6_tiny_loadgate_kinpower_w100_Test-m2_S008_seed42,2.4663171768188477,3.1173665523529053,,3.2965,303.36,0.09,23597
archive_season2/archive_7/exp_S2A7_tiny_best_physics_w100_Test-m2_S008_seed42,2.466984748840332,3.114086151123047,,1.6641,600.93,0.0935,24502
archive_season1/archive_4/exp_A4_quat_dropout_01_Test-m2_S008_seed42,2.468318223953247,3.0794172286987305,,1.818,550.07,0.8503,222908
archive_season2/archive_1/exp_S2A1_bodyframe_gaitphase_asymmetry_Test-m2_S008_seed42,2.468341588973999,3.0786960124969482,,1.7485,571.9,0.8533,223684
archive_season2/archive_5/exp_S2A5_feat_quat_relkin_compliance_Test-m2_S008_seed42,2.4703314304351807,3.105168342590332,,2.5004,399.94,0.8622,226012
archive_season1/archive_1/baseline_Test-m2_S008_seed42,2.4706733226776123,3.0751237869262695,,1.7865,559.77,0.8503,222908
archive_season2/archive_3/exp_S2A3_repr_rawimu6_Test-m2_S008_seed42,2.4707512855529785,3.1181514263153076,,3.8119,262.33,0.8496,222714
archive_season2/archive_8/exp_S2A8F_feat_trunk_consistency_teacher_Test-m2_S001_seed42,2.4735450744628906,3.0528156757354736,,2.3055,433.75,0.8585,225042
archive_season2/archive_2/exp_S2A2_ctrl_bodyframe_no_overground_Test-m2_S008_seed42,2.478018283843994,3.107484817504883,,2.1491,465.31,0.8496,222714
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed99_Test-m2_S006_seed42,2.480290412902832,3.1118783950805664,,2.4113,414.71,0.8548,224072
