feature,subject,q01,q99,range_width,dominant_freq_hz,periodicity_score,autocorr_similarity,trace_similarity,range_width_z,dominant_freq_z,periodicity_z,autocorr_similarity_z,trace_similarity_z
mech_power_left,S003,-6.84370596,7.31870368000003,14.16240964000003,0.6507125571390158,0.08931040511892253,0.9924160419799926,0.2661166638692548,1.2121264692423137,-1.037035263868724,0.07999356647223349,-1.0324779419813601,-0.0031938952211907397
mech_power_right,S003,-5.955087289999999,6.1859384300000375,12.141025720000037,3.35574079053509,0.10067646698430714,0.9921922831967017,0.2501410090177433,1.556267860906628,0.6762559048752183,-0.09173054779202605,0.1697927440400314,0.5847273263979068
global_accel_x_overground,S003,-3.102770413282236,2.8900182183804812,5.992788631662718,1.6832481849959664,0.5372281073270426,0.9218608278022832,0.30577498385143626,0.8993134963067446,0.5308661625769397,1.3783462071785582,0.37815771337005644,-0.1931413823526041
global_accel_y_overground,S003,-3.668154765791554,4.110504624807024,7.778659390598578,0.8443129873621941,0.42091211068982803,0.9297090046413372,0.29187558538169117,0.7887971252294284,-0.10495066814880107,-0.47674889831145234,0.4473484724064449,-0.409842922333631
a_tread,S003,-0.5979750000000006,0.5533499999999972,1.1513249999999977,3.3503630008066683,0.25957045185382727,0.9652030081438431,0.28692451959898524,-0.8321643633449849,-0.2691311014028176,-0.4306599768243847,-0.2977465039448351,-2.211201017868681
euler_roll,S004,-39.9045695308158,32.35447112190393,72.25904065271973,0.8503662722196609,0.61500085110797,0.9737142769295084,0.3391180641357912,0.5432360689492924,0.10495066814880107,-1.821564589753953,0.12806510884287456,0.8644244324241922
euler_pitch,S004,-85.6145788621951,-76.33099927812871,9.283579584066388,1.7058552328261871,0.19557828928863308,0.9936904410667904,0.910320067126239,1.309102403147859,0.07289812667117895,0.035149843605783916,0.5455856494158488,-0.10018650346666985
euler_yaw,S004,-1.153467174001473,23.598813778509882,24.752280952511356,0.8503662722196609,0.5663269172716384,0.9498849436901965,0.9610454324056011,0.6420909851553466,0.10495066814880107,-0.8628031150618903,0.5735118994464949,0.30240264110960574
left_hip_angle,S004,-10.1074,36.2329,46.3403,0.8503662722196609,0.9193647440084705,0.9979187915654405,0.45710825370671737,0.5879983947861624,0.10495066814880107,1.0884039149805997,0.6577855716084137,1.2946737025770605
right_hip_angle,S004,-14.502,33.1348,47.6368,0.8503662722196609,0.9016382087208726,0.9985603518377446,0.44735993767699583,0.4964636287206725,0.10495066814880107,-0.42526574980994397,0.662864028797761,1.5950024437891885
left_torque,S004,-0.0348,0.0348,0.0696,0.8554889606065263,0.10678359319307827,0.9910937797048611,0.2892334264344597,-2.0803852915198484,-0.7460812318693424,0.6602381294781212,-0.7936886583595537,-0.8382843517068348
right_torque,S004,-0.0385,0.0366,0.0751,0.8503662722196609,0.10223530273726236,0.9930383999965549,0.30189337464594374,-0.6994812224143593,-1.3564593412670347,0.5062246552642927,0.6815094293347504,-0.390914048500559
left_thigh_angle,S004,-12.7222,32.8052,45.5274,0.8503662722196609,0.91660593871234,0.9979396576587525,0.4682749360415637,-0.17536304185481108,0.10495066814880107,2.062335913080869,0.6563464326580862,1.380429665867173
right_thigh_angle,S004,-16.9849,30.7617,47.7466,0.8503662722196609,0.8982220384435682,0.9983795111545318,0.4479874658403104,0.5317336870347967,0.10495066814880107,0.29421951367039667,0.6607505529049224,1.7317158140032198
deflection_left,S004,-0.08789999999999765,1.6919000000000004,1.779799999999998,0.8503662722196609,0.9051494786344819,0.9934337607111433,0.3221036028567278,0.21583017759071382,-0.41657082023051,0.9592391222485771,0.6709496343777368,0.7768868700371683
deflection_right,S004,4.328599999999998,6.0865,1.757900000000002,0.8503662722196609,0.905981597257151,0.9933482229909217,0.27113529920004525,0.21583017759072035,-0.41657082023051,0.9092768728042891,0.672828905536113,0.6751267713045953
asymmetry_hip_diff,S004,-36.18898,45.329499999999996,81.51848,0.8503662722196609,0.9700351472784551,0.9986079247342387,0.4773562307177414,-0.04280579763968776,0.10495066814880107,-1.0026064845656588,0.6617934863336292,2.239778154046157
asymmetry_torque_diff,S004,-0.053099999999999994,0.0531,0.10619999999999999,0.8554889606065263,0.1007147326531497,0.9910540879262334,0.3133009025567282,-3.0299126307884516,-0.2270920694199932,-0.36202109404843336,-1.9668959334557359,0.09700100828481475
asymmetry_thigh_diff,S004,-36.2109,45.34711999999998,81.55801999999998,0.8503662722196609,0.9700578593203398,0.99860869663009,0.47738394003357226,-0.0433849914309404,0.10495066814880107,-1.004699941766327,0.6618010770341289,2.2407742323600375
mech_power_left,S004,-4.592269,4.457474999999988,9.049743999999988,1.1526048870447212,0.08287478265344565,0.9933372221858099,0.24986069279125067,-1.3325486808102947,-0.8134867108925802,-1.25559752778087,0.9679865246560484,-0.4269968155979157
mech_power_right,S004,-5.739800000000001,5.356937599999989,11.09673759999999,3.391219712104913,0.13531018548769733,0.9891428186832102,0.2486567533949103,0.7242318655165928,0.7198569449803564,1.802992332367749,-6.343909337789795,-0.027243458756420636
global_accel_x_overground,S004,-2.5562815487340336,3.032843813640761,5.589125362374794,1.7058552328261871,0.4319946758303571,0.9272166163788419,0.2941356513762363,-0.15681929497219108,0.5640981773300858,0.37368699210665013,0.4137341919723472,-0.7588841668922794
global_accel_y_overground,S004,-3.460375698212036,3.145418042840426,6.605793741052462,0.8503662722196609,0.40445150495498416,0.8989674794445259,0.32880979759608564,-0.3503569643305913,0.10495066814880107,-0.7108558424480204,0.2179630555399124,1.8229955733853533
a_tread,S004,-0.580124999999998,0.5354999999999988,1.1156249999999968,3.391219712104913,0.49180860179155983,0.9489945792467962,0.3360625409980547,-1.1694143586215997,0.04808023653979263,1.23115199619192,-1.2952098000795316,-0.18420538813413856
